uuid,model,mac,ip,version,date,date2,region,net
34DAA6475332D4D7474DCA66C6180F95,CVTM638_768_PC821,a0:b0:c0:7b:a3:ce,183.225.138.231,2.1.0-R-20161227.2200,07/06/17,16:30:04,云南,移动
EEB7607EC394F079E55208E6D2745605,CVTM638_768_PC821,00:25:92:ba:dd:76,58.16.207.207,2.1.0-R-20161227.2200,07/06/17,17:44:57,贵州,联通
CEE42E35024E70FE77271A9358316CBC,CVTM638_768_PC821,00:25:92:ba:d0:da,113.120.185.125,2.1.0-R-20161227.2200,07/06/17,18:45:52,山东,电信
8DACB36E8E46220F563CE990F02AD5C6,CVTM638_768_PC821,00:25:92:be:7b:c3,60.4.52.82,2.1.0-R-20161227.2200,07/06/17,19:00:17,河北,联通
A919414722679758D0BB7B20A04B35F1,CVTM638_768_PC821,00:25:92:be:74:8f,222.181.218.41,2.1.0-R-20161227.2200,07/06/17,19:23:08,重庆,电信
8E2DDAE1374C10E3DEEC6A646AF53FA4,CVTM638_768_PC821,00:25:92:be:75:52,110.229.38.166,2.1.0-R-20161227.2200,07/06/17,19:28:14,河北,联通
0FB9FBF1E6E86BD064A602C0C266AB27,CVTM638_768_PC821,00:25:92:be:79:8b,124.238.73.5,2.1.0-R-20161227.2200,07/06/17,19:32:50,河北,电信
8DACB36E8E46220F563CE990F02AD5C6,CVTM638_768_PC821,00:25:92:be:7b:c3,60.4.52.82,2.1.0-R-20161227.2200,07/06/17,19:00:17,河北,联通
7785D1E7BC5E168399AD64BDEED8976F,CVTM638_768_PC821,00:25:92:ba:dc:83,106.85.37.40,2.1.0-R-20161227.2200,07/06/17,20:00:46,重庆,电信
463BF711D707547EA2795F0AE6E882B1,CVTM638_768_PC821,00:25:92:be:77:06,114.135.45.138,2.1.0-R-20161227.2200,07/06/17,20:09:25,贵州,电信
51F6E28EBBDE850E36CEC6A9C1474DAE,CVTM638_768_PC821,00:25:92:ba:d5:82,222.38.255.178,2.1.0-R-20161227.2200,07/06/17,20:13:04,河北,铁通
B2718CD659B8AF231C6A5C554C9F64BE,CVTM638_768_PC821,00:25:92:ba:dd:df,106.117.43.134,2.1.0-R-20161227.2200,07/06/17,20:26:40,河北,电信
BF953DBB0E945076477DC6FD74DCFEF9,CVTM638_768_PC821,00:25:92:ba:d5:b3,112.252.32.201,2.1.0-R-20161227.2200,07/06/17,20:18:55,山东,联通
A3182B69AE5F7F1BD2867B41691029ED,CVTM638_768_PC821,00:25:92:ba:de:f5,117.135.233.100,2.1.0-R-20161227.2200,07/06/17,20:30:00,贵州,移动
9689BB90923645F6F31EC96228442B70,CVTM638_768_PC821,00:25:92:be:77:41,61.243.47.254,2.1.0-R-20161227.2200,07/06/17,20:51:11,贵州,联通
CED2A155EB21927FC126041C6AA2DEBF,CVTM638_768_PC821,00:25:92:ba:d1:3d,1.49.33.99,2.1.0-R-20161227.2200,07/06/17,20:56:41,贵州,电信
EE8BCC4EC084757DEF49A2986D765AAC,CVTM638_768_PC821,00:25:92:ba:d2:96,58.16.207.222,2.1.0-R-20161227.2200,07/06/17,22:00:43,贵州,联通
CC4AB4A6367C7A306A8A73986ED7D6BB,CVTM638_768_PC821,00:25:92:ba:5c:ff,219.72.200.158,2.1.0-R-20161227.2200,07/07/17,11:11:13,湖南,中信网络有限公司
0718D692E13837B05D1D9B22AA07DAE0,CVTM638_768_PC821,00:25:92:bd:c2:c7,222.38.151.198,2.1.0-R-20161227.2200,07/07/17,13:54:37,未知,
923A19CAAFCFEF7C56EBEC74BA15207F,CVTM638_768_PC821,00:25:92:ba:ce:84,111.124.212.48,2.1.0-R-20161227.2200,07/07/17,14:35:05,贵州,电信
1077EF3112607805AED8A5574A7C8854,CVTM638_768_PC821,00:25:92:b8:27:dc,115.58.28.152,2.1.0-R-20161227.2200,07/07/17,14:55:45,河南,联通
8A9772EBDA5D35A1329EFF3A274A31F7,CVTM638_768_PC821,00:25:92:ba:7a:82,59.109.64.56,2.1.0-R-20161227.2200,07/07/17,14:49:36,未知,未知地区
D529309F64763F12DF97B9BEE1D35B83,CVTM638_768_PC821,00:25:92:ba:d6:6f,112.115.25.60,2.1.0-R-20161227.2200,07/07/17,17:02:09,云南,电信
2A503EAAA84B508A720246F6402BB377,CVTM638_768_PC821,00:25:92:be:77:7d,111.14.59.198,2.1.0-R-20161227.2200,07/08/17,8:50:24,山东,移动
