,Director,Count
0,伍迪·艾伦,1
1,徐克,7
2,麦曦茵,1
3,布莱恩·辛格,4
4,史蒂文·斯皮尔伯格,8
5,山姆·雷米,2
6,保罗·麦奎根,2
7,托比·海恩斯,1
8,佩顿·里德,1
9,奥利维耶·特雷内,1
10,肯尼思·布拉纳,1
11,王家卫,8
12,郭敬明,3
13,马丁·斯科塞斯,3
14,弗朗西斯·福特·科波拉,3
15,岩井俊二,5
16,迈克·尼科尔斯,2
17,奉俊昊,2
18,戈尔·维宾斯基,3
19,杜琪峰,4
20,吕克·贝松,4
21,薛晓路,2
22,艾斯彭·山德伯格,1
23,乔阿吉姆·罗恩尼,1
24,张太维,1
25,大卫·克拉尼,1
26,玛尔塔·考夫曼,1
27,宫崎骏,8
28,叶伟民,2
29,拉斯·霍尔斯道姆,2
30,冯小刚,11
31,查克·罗瑞,1
32,比尔·布拉迪,1
33,大卫·弗兰科尔,1
34,奥利维埃·纳卡什,1
35,埃里克·托莱达诺,1
36,柯克·德·米科,1
37,克里斯·桑德斯,2
38,邓肯·琼斯,3
39,周星驰,8
40,韩寒,2
41,马克·韦布,3
42,马丁·布莱斯,1
43,朱塞佩·托纳多雷,3
44,皮埃尔·科凡,3
45,克里斯·雷纳德,2
46,滕华涛,1
47,管虎,2
48,乔纳森·戴米,1
49,昆汀·塔伦蒂诺,5
50,西蒙·韦斯特,1
51,特瑞·乔治,1
52,西谷弘,1
53,索菲亚·科波拉,1
54,J·J·艾布拉姆斯,2
55,米歇尔·贡德里,1
56,乔·舒马赫,2
57,斯蒂芬·切波斯基,1
58,罗兰·艾默里奇,3
59,安德鲁·尼科尔,2
60,陈凯歌,3
61,侯孝贤,1
62,尔冬升,2
63,韦家辉,1
64,郭在容,3
65,袁建滔,1
66,理查德·拉·格拉文斯,1
67,姜文,5
68,陈木胜,3
69,皮特·休伊特,1
70,盖·里奇,3
71,张艺谋,7
72,关锦鹏,2
73,马基德·马基迪,1
74,森田宏幸,1
75,弗兰克·德拉邦特,2
76,八木龙一,1
77,山崎贵,1
78,康拉德·弗农,1
79,埃里克·达尼尔,2
80,汤姆·麦格拉思,2
81,沙朗·马奎尔,1
82,布拉德·伯德,3
83,叶伟信,2
84,蒂姆·米勒,1
85,乔·庄斯顿,1
86,安德鲁·亚当森,2
87,吴基焕,1
88,瞿友宁,1
89,沃尔夫冈·彼德森,1
90,克里斯托弗·麦奎里,1
91,俞白眉,1
92,邓超,1
93,爱德华·兹威克,3
94,雷德利·斯科特,3
95,蒂姆·波顿,5
96,陈玉珊,1
97,克里斯·哥伦布,3
98,乌尔善,2
99,迈克尔·贝,6
100,理查德·柯蒂斯,3
101,罗伯特·怀斯,1
102,藤森雅也,1
103,丹尼斯·维伦纽瓦,1
104,宁浩,4
105,麦兆辉,6
106,庄文强,3
107,乔纳森·戴顿,1
108,维莱莉·法瑞斯,1
109,吴宇森,4
110,大卫·叶茨,5
111,汤姆·提克威,4
112,拉娜·沃卓斯基,4
113,莉莉·沃卓斯基,4
114,丹尼·博伊尔,2
115,伊恩·索夫特雷,1
116,本·阿弗莱克,1
117,查克·拉塞尔,1
118,巴兹·鲁赫曼,1
119,李安,7
120,陈可辛,3
121,杨德昌,1
122,姜炯哲,2
123,陈嘉上,3
124,钱永强,1
125,陈国富,1
126,高群书,1
127,詹姆斯·卡梅隆,3
128,让-马克·瓦雷,1
129,佐米·希尔拉,1
130,王晶,2
131,郭帆,1
132,刘伟强,4
133,大卫·芬奇,5
134,李·昂克里奇,3
135,金秉祐,1
136,彼得·杰克逊,7
137,安东尼·明格拉,1
138,保罗·格林格拉斯,2
139,张一白,3
140,赛尔乔·莱翁内,1
141,安东尼·罗素,2
142,乔·罗素,2
143,徐峥,2
144,大卫·斯雷德,1
145,蒂莫西·范·帕腾,1
146,布莱恩·柯克,1
147,丹尼尔·米纳汉,1
148,阿兰·泰勒,2
149,约翰·拉塞特,1
150,肖恩·利维,2
151,乔斯·韦登,2
152,萨姆·门德斯,1
153,大森贵弘,1
154,布尔·斯蒂尔斯,1
155,罗杰·米歇尔,1
156,斯坦利·库布里克,2
157,梁旋,1
158,张春,1
159,拉吉库马尔·希拉尼,2
160,李惠民,1
161,许鞍华,1
162,弗朗西斯·劳伦斯,2
163,沙恩·布莱克,1
164,罗伯·莱纳,2
165,九把刀,1
166,让-皮埃尔·热内,1
167,加布里埃莱·穆奇诺,1
168,克里斯托弗·诺兰,7
169,理查德·林克莱特,3
170,钮承泽,2
171,刘镇伟,4
172,罗伯特·泽米吉斯,2
173,盖瑞·马歇尔,1
174,安德鲁·斯坦顿,2
175,彼特·道格特,3
176,李力持,3
177,道格·里曼,3
178,梅尔·吉布森,2
179,郭子健,1
180,彭浩翔,2
181,赵薇,1
182,温子仁,1
183,中岛哲也,2
184,周申,1
185,刘露,1
186,新海诚,2
187,田晓鹏,1
188,汤姆·霍珀,2
189,路易斯·莱特里尔,1
190,楚克?萨克瑞科,1
191,朗·霍华德,2
192,泷田洋二郎,1
193,M·奈特·沙马兰,1
194,杨·塞谬尔,1
195,大卫·斯沃曼,1
196,大卫·林奇,1
197,吉尔莫·德尔·托罗,2
198,唐·霍尔,1
199,克里斯·威廉姆斯,1
200,贾森·雷特曼,2
201,李焕庆,1
202,李玉,1
203,程小东,1
204,卡洛斯·萨尔达尼亚,4
205,麦克·特米尔,2
206,杰瑞·扎克,1
207,克里斯·巴克,1
208,珍妮弗·李,1
209,吕寅荣,2
210,刁亦男,1
211,马修·沃恩,3
212,肯·卡皮斯,1
213,伍仕贤,1
214,迪恩·德布洛斯,2
215,周杰伦,1
216,格斯·范·桑特,2
217,黄毅瑜,1
218,达米恩·查泽雷,2
219,乔恩·费儒,3
220,杨庆,2
221,程耳,1
222,亚历山德罗·卡罗尼,1
223,托德·菲利普斯,1
224,夏永康,1
225,陈国辉,1
