,Actor,Count,Rank
0,欧文·威尔逊,3,3
1,玛丽昂·歌迪亚,6,3
2,瑞秋·麦克亚当斯,8,3
3,汤姆·希德勒斯顿,5,3
4,凯西·贝茨,3,3
5,艾德里安·布洛迪,6,3
6,蕾雅·赛杜,4,3
7,麦克·辛,3,3
8,寇瑞·斯托尔,2,3
9,妮娜·阿里安达,1,3
10,米密·肯尼迪,1,3
11,柯特·富勒,2,3
12,卡拉·布吕尼,1,3
13,加德·艾尔马莱,1,3
14,艾丽森·皮尔,2,3
15,李连杰,3,3
16,周迅,9,3
17,陈坤,7,3
18,李宇春,3,3
19,桂纶镁,7,3
20,范晓萱,2,3
21,樊少皇,4,3
22,杜奕衡,3,3
23,刘家辉,5,3
24,张馨予,2,3
25,盛鉴,2,3
26,陈伟霆,2,3
27,钟欣潼,2,3
28,诗雅,2,3
29,曾国祥,2,3
30,周俊伟,1,3
31,向佐,1,3
32,杜汶泽,6,3
33,詹姆斯·麦卡沃伊,7,3
34,迈克尔·法斯宾德,5,3
35,詹妮弗·劳伦斯,6,3
36,尼古拉斯·霍尔特,4,3
37,奥斯卡·伊萨克,2,3
38,萝丝·拜恩,3,3
39,埃文·彼得斯,3,3
40,休·杰克曼,10,3
41,乔什·赫尔曼,3,3
42,苏菲·特纳,1,3
43,泰伊·谢里丹,1,3
44,卢卡斯·提尔,3,3
45,柯蒂·斯密特-麦菲,2,3
46,本·哈迪,1,3
47,亚历山德拉·希普,1,3
48,陈东兰,1,3
49,奥立薇娅·玛恩,1,3
50,山姆·尼尔,1,3
51,劳拉·邓恩,1,3
52,杰夫·高布伦,3,3
53,理查德·阿滕伯勒,1,3
54,鲍勃·佩克,1,3
55,马丁·费雷罗,1,3
56,约瑟夫·梅泽罗,2,3
57,阿丽亚娜·理查兹,1,3
58,塞缪尔·杰克逊,11,2
59,黄荣亮,2,3
60,韦恩·奈特,1,3
61,杰拉尔德·R·莫伦,1,3
62,米盖尔·桑多瓦尔,1,3
63,托比·马奎尔,3,3
64,威廉·达福,7,3
65,克斯汀·邓斯特,4,3
66,詹姆斯·弗兰科,4,3
67,克里夫·罗伯逊,2,3
68,罗斯玛丽·哈里斯,2,3
69,J·K·西蒙斯,8,3
70,乔·曼根尼罗,1,3
71,格里·贝克尔,1,3
72,比尔·努恩,3,3
73,杰克·贝茨,1,3
74,斯坦利·安德森,1,3
75,罗恩·帕金斯,1,3
76,迈克尔·帕帕约翰,1,3
77,布鲁斯·坎贝尔,2,3
78,本尼迪克特·康伯巴奇,11,2
