index,楼盘名称,板块名称,项目地址,物业类型,总户数,建筑面积,占地面积,产权,装修,容积率,绿化率,车位数,物业费,物业公司
511,海威·钱塘之星,滨江,江南大道与西兴路交叉口东北,LOFT精装公寓,433,68000㎡,12754㎡,40年,精装,4,25.00%,409,,
1,绿城·桃花源,老余杭,杭州市余杭区凤凰山南麓，距杭州市中心18公里,别墅,570,252125㎡,1773333㎡,70年,精装,0.3,70.00%,570,5.2,绿城物业
2,万科公望,其他(富阳),富阳沿江公路黄公望国家森林公园南麓,别墅,405,244000㎡,623000㎡,70年,毛坯,0.3,30.00%,每户1-2个车位,5.5,杭州万科物业服务有限公司
3,曼陀花园,其他(富阳),青山湖度假风景区,别墅,85,60000㎡,173333㎡,70年,,待定,待定,暂无资料,4.5-5.5,绿城物业服务集团有限公司
7,青山湖玫瑰园,其他(富阳),临安青山湖街道（石临公路南侧,别墅,300,261975㎡,1733342㎡,70年,毛坯,0.2,45.00%,每户配备1-2个车位,5,浙江绿城物业
30,万科·郡西,良渚,余杭万科良渚文化村内,别墅,94,78000㎡,1140000㎡,70,精装,0.3,40.00%,247,8.5,上海万科物业服务有限公司余杭分公司
40,万科·堂前,良渚,余杭万科良渚文化村内,别墅,140,49600㎡,10986㎡,70,精装,0.5,47.00%,234,2.7,杭州余杭万科南都物业服务有限公司
52,西溪玫瑰,五常西溪,余杭五常大道与荆常路交叉口北方,别墅,291,110000㎡,99523㎡,70,毛坯,1,30.00%,暂无资料,3.8,浙江绿城物业管理有限公司
59,保利唐宁十号府,下沙沿江,下沙新城沿江大道与6号大街交汇处,别墅,50,134483㎡,52600㎡,70,毛坯,2.6,30.00%,均设半地下车库,,保利广州物业管理有限公司杭州分公司
104,朗诗美丽洲,良渚,良渚文化村核心区,别墅,185,50000㎡,60472㎡,70年,毛坯,0.8,30.00%,370,3.8,朗诗物业管理有限公司
140,坤和·和家园,西溪留下,西湖西溪路南侧西穆坞（原中国人民解放军73021部队营房驻地）,别墅,9000,1000000㎡,580000㎡,70,毛坯,1.2,30.00%,1:01,2.5,深圳开元国际物管公司
168,大华西溪风情,未来科技城,文一西路，文二西路，距西溪湿地国家公园400米,别墅,347,35000㎡,58000㎡,70,毛坯,0.5,50.00%,130,3.5,杭州彩虹物业管理有限公司
354,天鸿美和院,其他(富阳),富阳银湖开发区320国道与九龙大道东口,别墅,1300,287570㎡,287570㎡,商业40年，住宅70年,毛坯,1.2,32.60%,1000,,上海天鸿尊逸物业有限公司
506,绿城·江南里,桥西,杭州拱宸桥西侧小河路与风境街交叉口东临京杭大运河,别墅,76,51022㎡,34116㎡,70年,精装修,0.7,30.00%,,,
586,滨江象牙海岸,钱江新城,复兴路与之江路路交汇处东侧,别墅,86,27338㎡,13375㎡,70年,毛坯,1.5,30.00%,,,
587,阳光威尼斯,镇海,城东路东侧，南临姚江，东临余姚剑江,别墅,116,105000㎡,43511㎡,70年,毛坯,1.2,35.00%,,2.5,中奥物业
691,易辰江南大院,青山湖,科技大道陈市公路交叉口北侧,别墅,253,85000㎡,120000㎡,70年,毛坯,0.4,待定,,,绿城物业
289,宝龙城市广场,下沙大学城北,下沙2号大街与25号大街交叉口（浙江工商大学对面）,别墅、住宅、酒店式公寓,3200,330000㎡,220000㎡,70,"毛坯,精装修",2.6,30.00%,1985,1.75,泰安宝龙商业物业管理有限公司杭州分公司
120,汇宇和庭,南部卧城,萧山高桥路999号,别墅普通住宅,469,105000㎡,50000㎡,70,,1.6,30.00%,680,2.8,待定
