type,status,isSend,content,content2,talkerId
3,2,1,,,1569
1,3,0,q32444005,哪一年丢,1569
3,2,1,,,1569
1,2,1,201577,,1569
1,3,0,q32444005,浪,1569
1,2,1,2年前,,1569
1,3,0,q32444005,三年前的有吗,1569
3,2,1,,,1569
1,2,1,理论有,,1569
1,2,1,还要找找,,1569
1,3,0,wxid_1252782525412,球赛啤酒??约起来,1569
1,2,1,曼联迷,,1569
1,2,1,浪,,1569
1,2,1,2个曼联球迷,,1569
1,2,1,都不看,,1569
1,2,1,一个阿森纳球迷看比赛说的,,1569
1,2,1,发个包,,1569
1,2,1,@小心我来了?,,1569
1,2,1,@我是如此想小心?,,1569
1,2,1,发个包,,1569
3,3,0,wxid_1252782525412,,1569
1,2,1,高级,,1569
1,3,0,wxid_1252782525412,点球不进,1569
48,2,1,"<msg><locationx=""31.997825622558594""y=""118.78642272949219""scale=""16""label=""雨花东路(养回红村五号小区南)""poiname=""[位置]""infourl=""""maptype=""0""/></msg>",,1569
3,3,0,kuaful,,1569
48,3,0,kuaful,,1569
1,2,1,@我是如此想小心?,,1569
47,2,1,wxid_0mkad3zxhnsr22,1.50E+12,1569
3,3,0,kuaful,,1569
3,2,1,,,1569
1,3,0,q32444005,又去度假了,1569
1,3,0,q32444005,羡慕,1569
1,2,1,科长神人,,1569
1,3,0,kuaful,？,1569
1,3,0,kuaful,是不是这个地方啊,1569
3,3,0,kuaful,,1569
1,2,1,@我是如此想小心?是的,,1569
1,2,1,没错,,1569
1,2,1,我特地打出来,,1569
1,2,1,勾起你的回忆,,1569
1,3,0,kuaful,我也接受到你的电波,1569
1,3,0,kuaful,?跟嗯是不是有默契啊,1569
