ID,时间,联系人,微信号,状态,类型,消息
,,,,,,
1181720972@chatroom,2017-06-06 07:58:41,我,0,发送,文本,怂
1181720972@chatroom,2017-06-06 07:59:00,黄亮,kuaful,接收,文本,辛亏人在开顺风车
1181720972@chatroom,2017-06-06 07:59:06,黄亮,kuaful,接收,文本,不受影响
1181720972@chatroom,2017-06-06 08:30:23,我,0,发送,照片壁纸,[照片壁纸]
1181720972@chatroom,2017-06-06 08:33:15,黄亮,kuaful,接收,文本,为了把乘客安全准时送到目的地，闯了个红灯
1181720972@chatroom,2017-06-06 08:34:29,我,0,发送,文本,又不拍 是搭
1181720972@chatroom,2017-06-06 08:35:20,黄亮,kuaful,接收,文本,求包，求安慰
1181720972@chatroom,2017-06-06 08:35:32,我,0,发送,照片壁纸,[照片壁纸]
1181720972@chatroom,2017-06-06 08:54:49,我,0,发送,照片壁纸,[照片壁纸]
1181720972@chatroom,2017-06-06 08:54:54,我,0,发送,文本,@我在建湖想小心?
1181720972@chatroom,2017-06-06 09:19:43,黄亮,kuaful,接收,网页,帮我拆拆拆拆拆拆拆拆拆拆拆拆拆神券啦！ https://h5.m.jd.com/dev/2KSqsyziw55PoUefmvMei4n6SLvc/outer.html?ad_od=1&id=308251f717d84ae9af70c83058a61536&_ts=1496711978958&resourceType=jdapp_share&resourceValue=Wxfriends&utm_source=iosapp&utm_medium=appshare&utm_campaign=t_335139774&utm_term=Wxfriends
1181720972@chatroom,2017-06-06 09:42:36,黄亮,kuaful,接收,照片壁纸,[照片壁纸]
1181720972@chatroom,2017-06-06 09:44:17,黄亮,kuaful,接收,文本,踹踹是谁
1181720972@chatroom,2017-06-06 09:49:53,张保重,wxid_1252782525412,接收,文本,班长
1181720972@chatroom,2017-06-06 10:04:26,黄亮,kuaful,接收,文本,乖机子
1181720972@chatroom,2017-06-06 10:04:30,黄亮,kuaful,接收,文本,你全晓得
1181720972@chatroom,2017-06-06 10:04:43,我,0,发送,文本,浪
1181720972@chatroom,2017-06-06 10:05:27,张保重,wxid_1252782525412,接收,文本,发个包
1181720972@chatroom,2017-06-06 10:05:45,我,0,发送,文本,发个包
1181720972@chatroom,2017-06-06 10:05:46,黄亮,kuaful,接收,文本,不一定呢
1181720972@chatroom,2017-06-06 10:05:57,黄亮,kuaful,接收,文本,你就确定是班长嘛
1181720972@chatroom,2017-06-06 10:06:24,张保重,wxid_1252782525412,接收,文本,你可以证明不是
1181720972@chatroom,2017-06-06 10:10:49,黄亮,kuaful,接收,文本,东子来气了
1181720972@chatroom,2017-06-06 10:11:04,黄亮,kuaful,接收,文本,以名誉保证谈的工作上事情
1181720972@chatroom,2017-06-06 10:11:18,张保重,wxid_1252782525412,接收,文本,那更要发个包安慰哈子
1181720972@chatroom,2017-06-06 10:12:30,张保重,wxid_1252782525412,接收,文本,先发包再解释和掩饰
1181720972@chatroom,2017-06-06 10:14:26,黄亮,kuaful,接收,文本,东子先出现再说
1181720972@chatroom,2017-06-06 10:14:57,张保重,wxid_1252782525412,接收,文本,先发包东子自然会出现
1181720972@chatroom,2017-06-06 10:15:52,黄亮,kuaful,接收,文本,这个就没得办法谈了
1181720972@chatroom,2017-06-06 10:27:47,我,0,发送,网页,微信红包 https://wxapp.tenpay.com/mmpayhb/wxhb_personalreceive?showwxpaytitle=1&msgtype=1&channelid=1&sendid=1000039501201706067008654824210
1181720972@chatroom,2017-06-06 10:28:31,10000,10000,接收,系统消息,黄亮领取了你的红包
1181720972@chatroom,2017-06-06 10:28:41,黄亮,kuaful,接收,动画表情,[动画表情]
1181720972@chatroom,2017-06-06 10:29:01,10000,10000,接收,系统消息,张保重领取了你的红包，你的红包已被领完
1181720972@chatroom,2017-06-06 10:37:43,uaful,uaful,接收,视频,[视频]
1181720972@chatroom,2017-06-06 10:50:49,黄亮,kuaful,接收,照片壁纸,[照片壁纸]
1181720972@chatroom,2017-06-06 11:52:24,黄亮,kuaful,接收,文本,友情提示：可以领取京东全场通用券充油卡
1181720972@chatroom,2017-06-06 11:52:27,黄亮,kuaful,接收,文本,500-30
1181720972@chatroom,2017-06-06 11:52:30,黄亮,kuaful,接收,文本,划算多多
1181720972@chatroom,2017-06-06 11:52:50,姜海东,q32444005,接收,文本,发票有吗
1181720972@chatroom,2017-06-06 11:53:04,黄亮,kuaful,接收,文本,搞不好可以有
1181720972@chatroom,2017-06-06 11:53:07,黄亮,kuaful,接收,文本,没试过呢
1181720972@chatroom,2017-06-06 11:55:29,姜海东,q32444005,接收,文本,问问看，可以的话囤
1181720972@chatroom,2017-06-06 12:08:07,张保重,wxid_1252782525412,接收,文本,求攻略
1181720972@chatroom,2017-06-06 12:08:37,我,0,发送,文本,浪 信用卡本来就95折
1181720972@chatroom,2017-06-06 12:08:39,张保重,wxid_1252782525412,接收,文本,一有便宜某人就出现了
1181720972@chatroom,2017-06-06 12:09:09,我,0,发送,文本,就差5块
1181720972@chatroom,2017-06-06 14:33:48,姜海东,q32444005,接收,照片壁纸,[照片壁纸]
1181720972@chatroom,2017-06-06 14:39:09,张保重,wxid_1252782525412,接收,文本,又是一单
1181720972@chatroom,2017-06-06 14:40:48,姜海东,q32444005,接收,文本,高级
1181720972@chatroom,2017-06-06 14:41:07,姜海东,q32444005,接收,照片壁纸,[照片壁纸]
1181720972@chatroom,2017-06-06 14:41:42,张保重,wxid_1252782525412,接收,文本,晚上请科长切磋一下
1181720972@chatroom,2017-06-06 14:42:02,黄亮,kuaful,接收,文本,张保重个狗日的看不起我和黑子
