,City,NickName,Province,Sex,Signature
0,盐城,哈哈哈,江苏,1,很懒
1,南京,sevenup,江苏,2,
2,南京,蓝,江苏,1,
3,,艳,,2,我为生活而变。
4,南京,Jacky,江苏,1,劝君莫打三春鸟，子在巢中盼母归。
5,杭州,风雷子,浙江,1,看尽世间繁华，不如亲人相伴！
6,,a?s?f?h,,0,
7,南京,飞鱼,江苏,1,
8,,凌翔辉,,0,
9,南京,emma,江苏,2,心如菩提，善待他人，也是善待自己！
10,杭州,西周,浙江,1,
11,南京,老孔,江苏,1,
12,南京,酆晓杰,江苏,0,
13,南京,大漠孤烟,江苏,1,美好的事物，都是与时间抗衡的结果！
14,苏州,goblin,江苏,2,期待春暖花开时
15,南京,华子,江苏,1,
16,,我在秋天中来,,0,
17,盐城,周良超,江苏,1,糾糾老秦，共赴国难！
18,南京,破热大大+&amp;#%aa,江苏,1,迷惘，蛋疼
19,南京,程雪阳,江苏,1,谁是我的肋骨
20,南京,安迪,江苏,1,
21,盐城,陶林,江苏,1,陶子
22,盐城,Chen Chen,江苏,1,
23,杭州,Ted,浙江,1,和爱的人zuo爱做的事。
24,南京,陈春,江苏,1,
25,虹口,一米阳光,上海,1,阳光明媚！
26,深圳,Lemon,广东,1,厚德载物 自强不息
27,南京,玉灵（李杨）,江苏,2,
28,南京,一遵六  ,江苏,1,阅读，让内心强大，勇敢面对抉择与挑战
29,杭州,小博,浙江,2,
30,深圳,Shirley,广东,2,笑着面对生活，你永远不知道下一刻会有什么惊喜。
31,,剑挥天下,,0,
32,南京,薛书峰,江苏,1,
33,盐城,周素华,江苏,2,幸福就是一觉睡到自然醒
34,无锡,阿吉,江苏,1,阿吉
35,温州,Shper,浙江,1,如果有一天我不再做码农了，我要当一个旅拍者，拍我想拍的风景。
36,石家庄,一棵树,河北,1,
37,杭州,国军,浙江,1,
38,南京,丽丽娅,江苏,2,若是美好叫做精彩，若是糟糕叫做经历.
39,杭州,汪衍玉,浙江,1,
40,盐城,姜海丽DK,江苏,2,莫找借口失败，只找理由成功。
41,沈阳,王松,辽宁,1,本人已婚 媳妇满分
42,南京,黄镭,江苏,1,it男
43,,陆建勇,,0,
44,南京,Justin Zuo,江苏,1,
45,,落叶,,0,
46,湖州,晴晴她爸,浙江,1,
47,南京,陆栋洵,江苏,1,“遇人藏不住事，遇事沉不住气，生气兜不住火。”
48,台州,诡道,浙江,1,忍
49,,春华cai,,0,
50,南京,小白菜,江苏,1,我是一棵小白菜，平平淡淡就好
51,西城,人鱼美文,北京,2,
52,杭州,西北小破孩,浙江,1,
53,南京,Ray,江苏,1,酒醉写作，酒醒修改
54,南京,某某锦,江苏,1,此处略去一行字
55,盐城,劭卿,江苏,1,吾有他之貌，无他之脑！吾之偶像—霍金《没心没肺！吃饱就睡》
56,徐汇,美丽人生,上海,1,发上等愿结中等缘享下等福            择高处立就平处住向宽处行
57,南京,李建春,江苏,1,
58,,长治久岸,江苏,1,
59,,海海,,1,
60,,周玉萍,,0,
61,杭州,方块六,浙江,1,hao123
62,,子誉,,2,
63,湖州,Jacky Qian,浙江,1,新年快乐，羊年大吉，朋友们
64,海淀,李锴,北京,1,
65,无锡,【         】,江苏,1,
66,杭州,Jeyawn,浙江,1,
67,南京,鸿,江苏,1,浩
68,深圳,石头,广东,1,伙
69,杨浦,Seasonclear,上海,1,
70,深圳,天地有风,广东,1,
71,南京,陈,江苏,1,附近有没有减肥的、大家一起减肥
72,深圳,三袁,广东,1,Hope is the best thing!
73,南京,简*敏,江苏,1,
74,平顶山,bingyuan,河南,1,人之所以过的幸福，是因为过的有希望。
75,,仪表 悟道之王,Novosibirsk,1,
76,南京,殷国甫～青丰,江苏,1,
77,苏州,姜海艳,江苏,2,
78,,米亚,,0,
79,南京,盛春冬,江苏,1,软件
80,海淀,张迎春,北京,1,但愿人长久  一炮泯恩仇  支付宝火了
81,南京,左佐,江苏,1,
82,徐州,土包子,江苏,1,狮王
83,杭州,二拖,浙江,1,
84,深圳,卓迎,广东,1,用眼睛去观察，用嘴巴去询问，用心灵去贴近，用头脑去思考。
85,宝山,吴伟,上海,1,不要问路在哪里，迎风向前是唯一的方向！
86,苏州,Steven,江苏,1,随意
87,深圳,落下张,广东,1,落下的人
88,南京,格格,江苏,2,没有最好，只有更好
89,南京,冰,江苏,1,
90,浦东新区,A_平_A,上海,1,
91,南京,正中,江苏,1,一百岁境界八十岁胸怀六十岁智慧四十岁智慧二十岁激情两三岁童心
92,苏州,?海宾格瑞,江苏,2,心无边界，梦有未来
93,南京,Ares,江苏,1,加油，我坚信一切都能好起来。
94,南京,天涯,江苏,1,
95,南京,滴滴答,江苏,2,2015，健康幸福与我同在！
96,盐城,休息一下,江苏,1,
97,盐城,思思 ?,江苏,2,
98,南京,许启亮,江苏,1,日子总有好有坏，唯有努力过才能不后悔……
99,深圳,刘常锋,广东,1,dudu
100,杭州,U妹 ? （杭州地区）,浙江,2,"有事打电话给我<span class=""emoji emoji1f60a""></span> 13826085276"
101,宿迁,那泥,江苏,2,
102,深圳,擦擦,广东,1,意外收获
103,南京,豪豪,江苏,1,Stay hungry stay foolish
104,连云港,紫色的海,江苏,1,
105,南京,杨俊,江苏,1,不乱于心，不困于情；不畏将来，不念过往。如此，安好！
106,,爱米,,0,
107,南京,0陈杰ZTE_南京软件谷酒类直供平台,江苏,1,zte七年内部烟酒服务 品质保障 服务大家
108,,LT666@RT,Stuttgart,1,
109,深圳,Victor Wang,广东,1,
110,,莉莉,,2,心若不动，风又奈何。你若不伤，岁月无恙。
111,哈尔滨,ZhangZT,黑龙江,1,
112,南京,臧成松,江苏,1,一条路走到天黑～
113,,七喜八斤,,0,开心每一天
114,,大燕,,0,N
115,浦东新区,蛋炒饭,上海,1,高出立平处坐阔处行
116,,不淡定的辉,,0,
117,扬州,simmon,江苏,1,做一个合格的考古学爱好者
118,南京,维尼,江苏,2,净化身心   做光  做盐
119,无锡,lee,江苏,1,
120,南京,丁洁莹,江苏,2,I love you once.I love you twice.I love you more than beans 
121,苏州,峰,江苏,1,该锻炼锻炼身体了
122,杭州,小囧,浙江,1,多读书，多看报，少吃零食多睡觉
123,南京,童童童玮?????,江苏,1,"Ash to ash, dust2dust"
124,深圳,胖娃,广东,1,加油
125,南京,Vera ??,江苏,2,
126,南京,zjw317,江苏,1,
127,南京,hcat,江苏,1,没有
128,,wufangh,,0,
129,南京,殷喆,江苏,1,
130,,allwell,,1,软件定制
131,长宁,幻海无雨,上海,2,
132,,鑫灏（吴锦成）,,0,
133,,周玉芳,,2,
134,南京,朱晓峰,江苏,2,
135,杭州,贝贝他爸,浙江,1,励志故事年年有，自己的路自己走。
136,南京,创造睛天,江苏,1,
137,永川,李松,重庆,1,事未成，声勿开
138,南京,李桂林-搜狗神马智汇推今日头条,江苏,1,十年生死两茫茫  不思量  自难忘  逝水如斯 而不舍昼夜
139,南京,YangDeQing,江苏,1,体胖就该多跑步，人丑就该多读书
140,,zhangwei,上海,2,
141,杭州,吴凤元,浙江,1,展望未来，勇往直前！
142,苏州,海运,江苏,1,
143,,laptiramisu,,2,心若向阳，便是晴天
144,盐城,开心,江苏,2,
145,福州,sugar,福建,1,
146,,珍,,0,
147,南京,? 夏玮 ??,江苏,2,对未来愈战愈勇
148,,悠悠,,2,快乐一生
149,,贾云飞,,0,
150,朝阳,Neo,北京,1,null
151,盐城,韩家正,江苏,1,
152,虹口,俞仁祥,上海,1,
153,南京,金骏,江苏,1,燕云十九骑
154,杭州,翼犀,浙江,1,在路上，重新出发
155,杭州,?虾米?,浙江,0,
156,扬州,baka_isai,江苏,1,
157,,曹阳,,0,
158,南京,波波呆,江苏,1,
159,牡丹江,珍珍老师@中国康嘉奇,黑龙江,2,与人为善 终得福报
160,盐城,玉兰装饰&amp;设计 王成,江苏,1,專業設計風格茶樓、主題餐廳、個性寫字樓！13485218988王成
161,南京,结婚乐邱兴旺,江苏,1,"结婚乐 创始人兼CEO
恒美尊荣婚礼  品牌创始人
13770664574"
162,,ayang,,0,
163,南京,高恒,江苏,1,
164,南京,佩奇,江苏,1,开动脑筋，做圆满！
165,南京,hp,江苏,1,
166,杭州,张保重,浙江,1,在路上
167,苏州,潼灵,江苏,2,
168,南京,Alexa,江苏,1,南京创业联盟创始人 | 阿里邦苏皖负责人 | 点翼企业顾问管理CEO
169,南京,曹帮主,江苏,1,文玩帮，南创帮-帮主，此号已满，好友无法通过，请加car-99
170,杭州,鱼羊,浙江,1,吾将穷极一生，让假货、不合规产品退出市场；
171,闵行,姜海东,上海,1,没个性
172,绍兴,X丶J丶X,浙江,1,享受工作  品位生活  经营人生
173,,赵敏,,1,大处着眼小处着手
174,盐城,栗子,江苏,2,大道至简，悟在天成。
175,杭州,马千越,浙江,2,"幸福需要学习<span class=""emoji emoji2764""></span>"
176,Melbourne,Arnon,Victoria,1,让时间说真话
177,浦东新区,summer,上海,1,读书是为了遇见更好的自己
178,南京,LEXian| 乐贤居 陈晓,江苏,1,寻找品质生活，做更好的你！
179,,Soci,Istanbul,2,不折不从，亦慈亦让
180,南京,张杰,江苏,1,给时光以生命
181,南京,恩宝贝,江苏,2,不能再虚度的过日子
182,南京,禾尤山民,江苏,1,人一定要靠自己！
183,成都,刘洋,四川,1,单蠢。
184,南京,静心,江苏,2,
185,南京,刘桢,江苏,1,：（
186,万州,苍山如海,重庆,1,心存侥幸者，赌徒是也！
187,苏州,砖行天下,江苏,1,
188,南京,奥哥,江苏,1,
189,,Meanszhang,,1,"












又来看我，是不是喜欢我"
190,南京,奥特曼,江苏,1,
191,南京,季小磊,江苏,1,十年如一梦
192,盐城,人在旅途,江苏,2,
193,深圳,企鹅吉吉,广东,2,why why why？try try try，bye bye bye
194,,大白,Roma,1,妈妈说，在哪里跌倒，就在哪里爬起来，再哭！
195,深圳,Neo,广东,1,专心，专注，专业
196,,新的一天,江苏,1,生活是妥协的艺术?!
197,,tobyos,,0,
198,杭州,Chivas,浙江,1,
199,深圳,jay,广东,1,只学不做等于没学，只知不做等于无知。
200,朝阳,?WIKI?,北京,2,女神都是一样的，女神（jing）（bing）却是各式各样的。
201,盐城,小吴小星,江苏,2,黄沙百战穿金甲，不破楼兰终不还。
202,广州,大王我巡山,广东,1,
203,广州,邓伟清,广东,1,心诚则灵X7
204,南京,李向荣,江苏,1,☆
205,深圳,伯騏BERKEY,广东,1,QUANT、FA、HEADHUNTER
206,南京,张晖,江苏,1,
207,南京,蓝蓝（纪）,江苏,2,
208,,王清,上海,1,
209,南京,兔头的啊呜,江苏,1,
210,南京,大吴,江苏,1,发上等愿结中等缘享下等福择高处立寻平处住向宽处行
